product,effective_date,entry_date,selected_contract,cum_increase_pct,trailing_return,trailing_vol,cluster_week,completeness_fallback,included_flag,exclusion_reason
HG,2020-10-16,2020-10-16,202012,0.16666666666666674,0.01636697746420541,0.301877765509594,2020-W42,False,True,
HG,2021-02-02,2021-02-02,202103,0.09523809523809534,-0.010577631942466114,0.23691257376733418,2021-W05,False,True,
HG,2021-02-19,2021-02-19,202107,0.08695652173913038,0.10432058781171932,0.2078085145627901,2021-W07,False,True,
HG,2021-04-09,2021-04-09,202107,0.10909090909090913,-0.022812822187699578,0.2499827282098103,2021-W14,False,True,
HG,2021-05-14,2021-05-14,202107,0.08196721311475419,0.11161042396997288,0.22378105942774776,2021-W19,False,True,
HG,2021-08-06,2021-08-06,202109,0.10000000000000009,-0.0013828073187548463,0.2247265562441577,2021-W31,False,True,
HG,2022-02-17,2022-02-17,202207,0.10000000000000009,-0.005540794317184599,0.23528030613896603,2022-W07,False,True,
HG,2022-03-08,2022-03-08,202207,0.18181818181818188,0.04758914156169227,0.2916708145978682,2022-W10,False,True,
HG,2022-11-10,2022-11-10,202303,0.1499999999999999,0.08994823666293958,0.39864171337643345,2022-W45,False,True,
HG,2023-03-17,2023-03-17,202307,0.0608695652173914,-0.05401999274153681,0.25723148133423984,2023-W11,False,True,
HG,2023-04-06,2023-04-06,202307,0.06557377049180335,0.001619231841614751,0.18642276516613887,2023-W14,False,True,
SI,2009-05-28,2009-05-28,200909,0.16666666666666674,,,2009-W22,False,False,selected contract missing 25 of 33 window days
SI,2009-12-15,2009-12-15,201003,0.125,,,2009-W51,False,False,selected contract missing 9 of 33 window days (FORWARD fallback also incomplete)
SI,2010-02-12,2010-02-12,201005,0.11111111111111116,,,2010-W06,False,False,selected contract missing 10 of 33 window days (FORWARD fallback also incomplete)
SI,2010-06-07,2010-06-07,201009,0.17647058823529416,,,2010-W23,False,False,selected contract missing 17 of 33 window days
SI,2010-11-11,2010-11-11,201012,0.30000000000000004,0.1253328234702418,0.34851751320723046,2010-W45,False,True,
SI,2010-12-17,2010-12-17,201103,0.06896551724137923,,,2010-W50,False,False,selected contract missing 7 of 33 window days (FORWARD fallback also incomplete)
SI,2011-01-21,2011-01-21,201103,0.06451612903225801,-0.10727963893361427,0.28519117365136787,2011-W03,False,True,
SI,2011-03-25,2011-03-25,201105,0.05454545454545445,0.08623880331527797,0.31067943950813737,2011-W12,False,True,
SI,2011-04-26,2011-04-26,201107,0.09195402298850586,,,2011-W17,False,False,selected contract missing 2 of 33 window days (FORWARD fallback also incomplete)
SI,2011-05-09,2011-05-09,201107,0.4883720930232558,-0.13794870525097788,0.7624907413777804,2011-W19,False,True,
SI,2011-09-26,2011-09-26,201112,0.15625,,,2011-W39,False,False,selected contract missing 1 of 33 window days (FORWARD fallback also incomplete)
SI,2013-04-16,2013-04-16,201307,0.18421052631578938,,,2013-W16,False,False,selected contract missing 9 of 33 window days (FORWARD fallback also incomplete)
SI,2014-12-05,2014-12-05,201503,0.18181818181818188,,,2014-W49,False,False,selected contract missing 17 of 33 window days (FORWARD fallback also incomplete)
SI,2015-01-30,2015-01-30,201505,0.10769230769230775,,,2015-W05,False,False,selected contract missing 22 of 33 window days
SI,2016-07-08,2016-07-08,201609,0.09375,0.11791001172156587,0.3190269941609476,2016-W27,False,True,
SI,2016-11-03,2016-11-03,201612,0.10476190476190483,0.03663817034593201,0.15341829121734182,2016-W44,False,True,
SI,2016-11-18,2016-11-18,201703,0.1206896551724137,,,2016-W46,False,False,selected contract missing 32 of 33 window days
SI,2017-08-11,2017-08-11,201709,0.08000000000000007,0.04993518565358485,0.2077291116135594,2017-W32,False,True,
SI,2017-09-11,2017-09-11,201712,0.09259259259259256,,,2017-W37,False,False,selected contract missing 14 of 33 window days (FORWARD fallback also incomplete)
SI,2019-06-28,2019-06-28,201909,0.09090909090909083,0.025166891164323902,0.1559886229867412,2019-W26,False,True,
SI,2019-08-09,2019-08-09,201909,0.13888888888888884,0.0787663833139317,0.21646192814323784,2019-W32,False,True,
SI,2019-09-06,2019-09-06,201912,0.19512195121951215,,,2019-W36,False,False,selected contract missing 17 of 33 window days (FORWARD fallback also incomplete)
SI,2019-10-04,2019-10-04,201912,0.061224489795918435,-0.03456308361872176,0.2370130692749266,2019-W40,False,True,
