product,effective_date,maintenance,initial,initial_reliable,notice_date,rate_label,routes,source,maintenance_conflict_across_routes,conflict_resolution
6E,2022-02-25,2400.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2022-07-15,2650.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2023-06-16,2400.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2023-11-03,2100.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2024-10-04,2400.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2024-10-18,2800.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2024-11-14,2300.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2025-02-07,2600.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2025-04-04,2900.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2025-04-11,3400.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2025-08-08,2900.0,,False,,front-tier snapshot,snapshot-live,EC-2020-to-present.pdf,False,
6E,2025-10-03,2700.0,,False,,front-tier snapshot,snapshot-live,EC-2020-to-present.pdf,False,
6E,2026-05-01,2400.0,,False,,front-tier snapshot,snapshot-live,EC-2020-to-present.pdf,False,
6J,2000-02-03,2100.0,2835.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2000-04-24,3120.0,4212.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2000-08-03,2700.0,3645.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2000-10-05,2400.0,3240.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2000-11-02,2100.0,2835.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2000-12-07,1800.0,2430.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2001-01-04,1500.0,2025.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2001-02-01,2100.0,2835.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2001-03-01,1500.0,2025.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2001-05-03,2100.0,2835.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
6J,2001-08-01,1500.0,2025.0,False,,Spec,wayback-history,JY_prior_to_2009.pdf@20121109080040,False,
